SuperTux → Mari0 CE mappack — attribution
Generated by scripts/mapsdk/build_supertux.py
Only levels that passed license_ok (CC-BY-SA allowlist) are listed.

FILE                                     AUTHOR                       LICENSE  NAME
find_bigger_fish.stl                     Carsten Wirtz                CC-BY-SA 4.0 International  Find the Bigger Fish!
mount_crushmore.stl                      Carsten Wirtz                CC-BY-SA 4.0 International  Mount Crushmore
tux_builder.stl                          Carsten Wirtz                CC-BY-SA 4.0 International  Tux the Builder
mouldy_grotto.stl                        Carsten Wirtz                CC-BY-SA 4.0 International  A Mouldy Grotto
wooden_roots.stl                         Carsten Wirtz                CC-BY-SA 4.0 International  Wooden Roots
penguin_on_tree.stl                      Carsten Wirtz                CC-BY-SA 4.0 International  Penguins Don't Grow On Trees
three_sheets_wind.stl                    Carsten Wirtz                CC-BY-SA 4.0 International  Three Sheets to the Wind
bouncy_coils.stl                         Carsten Wirtz                CC-BY-SA 4.0 International  Bouncy Coils
granito_village.stl                      Carsten Wirtz                CC-BY-SA 4.0 International  Granito Village
flooded_chambers.stl                     Carsten Wirtz                CC-BY-SA 4.0 International  Flooded Chambers
drop_ball.stl                            Carsten Wirtz                CC-BY-SA 4.0 International  Drop The Ball
crumbling_path.stl                       Carsten Wirtz                CC-BY-SA 4.0 International  Crumbling Path
owls_skydive_commando.stl                Carsten Wirtz                CC-BY-SA 4.0 International  Owls' Skydive Commando
shocking.stl                             Carsten Wirtz                CC-BY-SA 4.0 International  Shocking
going_underground.stl                    Carsten Wirtz                CC-BY-SA 4.0 International  Going Underground
cave_patrol.stl                          Carsten Wirtz                CC-BY-SA 4.0 International  Cave Patrol
through_dark.stl                         Carsten Wirtz                CC-BY-SA 4.0 International  Through the Dark
entangled_roots.stl                      Carsten Wirtz                CC-BY-SA 4.0 International  Entangled in Roots
square_root_agony.stl                    Carsten Wirtz                CC-BY-SA 4.0 International  Square Root of Agony
worse_salmonella.stl                     Carsten Wirtz                CC-BY-SA 4.0 International  Worse Than Salmonella
home_dead_home.stl                       Carsten Wirtz                CC-BY-SA 4.0 International  Home Dead Home
hollow_earth.stl                         Carsten Wirtz                CC-BY-SA 4.0 International  Hollowed Earth
sticks_stones.stl                        Carsten Wirtz                CC-BY-SA 4.0 International  Stick And Stones
root_for_you.stl                         Carsten Wirtz                CC-BY-SA 4.0 International  Rooting For You
striking_wood.stl                        Carsten Wirtz                CC-BY-SA 4.0 International  Striking Wood
collapse_imminent.stl                    Carsten Wirtz                CC-BY-SA 4.0 International  Collapse Imminent
rooted_tower.stl                         Carsten Wirtz                CC-BY-SA 4.0 International  The Rooted Tower
floral_blossom.stl                       Carsten Wirtz                CC-BY-SA 4.0 International  Floral Blossom
ancient_ruin.stl                         Carsten Wirtz                CC-BY-SA 4.0 International  Ancient Ruin
lost_sanctuary.stl                       Carsten Wirtz                CC-BY-SA 4.0 International  Lost Sanctuary
ghosttree_boss.stl                       Carsten Wirtz                CC-BY-SA 4.0 International  Roots of All Evil
forest_intro.stl                         Carsten Wirtz                CC-BY-SA 4.0 International  A New Location
corrupted_cutscene.stl                   Carsten Wirtz                CC-BY-SA 4.0 International  From Afar It Spreads
ghosttreewin_cutscene.stl                Carsten Wirtz                CC-BY-SA 4.0 International  Nature Is Healing
ghosttree_cutscene.stl                   Carsten Wirtz                CC-BY-SA 4.0 International  The Root Of The Problem
